"kd_kab","name_kab","kd_prov","centroid"
"1405","Kabupaten Kepulauan Meranti","14","[[102.5221 ,0.8645],[102.8849 ,1.0686]]"
"1406","Kabupaten Kuantan Singingi","14","[[101.3442 ,-0.5498],[101.7049 ,-0.3469]]"
"1407","Kabupaten Pelalawan","14","[[102.1129 ,0.1644],[102.4729 ,0.3670]]"
"1408","Kabupaten Rokan Hilir","14","[[100.6043 ,1.6269],[100.9702 ,1.8328]]"
"1409","Kabupaten Rokan Hulu","14","[[100.3268 ,0.8662],[100.6896 ,1.0703]]"
"141","Kabupaten Siak","14","[[101.6441 ,0.6325],[102.0059 ,0.8361]]"
"1471","Kota Dumai","14","[[101.0709 ,1.6847],[101.4371 ,1.8907]]"
"1472","Kota Pekanbaru","14","[[101.2842 ,0.4383],[101.6452 ,0.6414]]"
"1601","Kabupaten Banyuasin","16","[[104.6004 ,-2.7100],[104.9582 ,-2.5020]]"
"1602","Kabupaten Empat Lawang","16","[[102.7587 ,-3.8838],[103.1213 ,-3.6730]]"
"1603","Kabupaten Lahat","16","[[103.2665 ,-3.9859],[103.6295 ,-3.7749]]"
"1604","Kabupaten Muara Enim","16","[[103.8037 ,-3.7908],[104.1659 ,-3.5803]]"
"1605","Kabupaten Musi Banyuasin","16","[[103.6851 ,-2.5276],[104.0421 ,-2.3201]]"
"1606","Kabupaten Musi Rawas","16","[[103.0094 ,-3.2457],[103.3694 ,-3.0364]]"
"1607","Kabupaten Musi Rawas Utara","16","[[102.5387 ,-2.8945],[102.9090 ,-2.6861]]"
"1608","Kabupaten Ogan Ilir","16","[[104.4019 ,-3.5303],[104.7630 ,-3.3203]]"
"1609","Kabupaten Ogan Komering Ilir","16","[[104.8292 ,-3.4521],[105.1900 ,-3.2423]]"
"161","Kabupaten Ogan Komering Ulu","16","[[103.9272 ,-4.1531],[104.2909 ,-3.9416]]"
"1611","Kabupaten Ogan Komering Uluselatan","16","[[103.5970 ,-4.5604],[103.9624 ,-4.3479]]"
"1612","Kabupaten Ogan Komering Ulutimur","16","[[104.4678 ,-4.1118],[104.8314 ,-3.9005]]"
"1613","Kabupaten Penukal Abab Lematangilir","16","[[103.8021 ,-3.3177],[104.1624 ,-3.1083]]"
"1671","Kota Lubuk Linggau","16","[[102.6891 ,-3.3633],[103.0614 ,-3.1538]]"
"1672","Kota Pagar Alam","16","[[103.0759 ,-4.2380],[103.4521 ,-4.0263]]"
"1673","Kota Palembang","16","[[104.5565 ,-3.0663],[104.9276 ,-2.8575]]"
"1674","Kota Prabumulih","16","[[104.0300 ,-3.5441],[104.4031 ,-3.3342]]"
