id,kd_kabupaten,kabupaten,kordinat_x,kordinat_y,peta_kabupaten,code,slug,kd_provinsi,created_at,updated_at
334,6501,Kabupaten Bulungan,,,,,kabupaten-bulungan,65,4/4/2023 23:07,4/9/2023 21:31
335,6502,Kabupaten Malinau,,,,,kabupaten-malinau,65,4/4/2023 23:07,4/9/2023 21:31
336,6503,Kabupaten Nunukan,,,,,kabupaten-nunukan,65,4/4/2023 23:07,4/9/2023 21:31
337,6504,Kabupaten Tana Tidung,,,,,kabupaten-tana-tidung,65,4/4/2023 23:07,4/9/2023 21:31
338,6571,Kota Tarakan,,,,,kota-tarakan,65,4/4/2023 23:07,4/9/2023 21:31
